CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
14cc3d1d7938   dev-peer0.org1.example.com-drm-v0         0.00%     5.938MiB / 2GiB       0.29%     4.63kB / 2.67kB   0B / 0B           7
a988b9699b02   dev-peer0.org2.example.com-drm-v0         0.00%     5.902MiB / 2GiB       0.29%     4.78kB / 2.81kB   0B / 0B           6
0dfe6abd1560   dev-peer0.org1.example.com-marbles-v0     0.00%     15.04MiB / 2GiB       0.73%     1.42MB / 408kB    0B / 0B           7
d4f36d3a3568   dev-peer0.org2.example.com-marbles-v0     0.00%     14.91MiB / 2GiB       0.73%     1.42MB / 407kB    0B / 0B           7
2107d2f58c8f   peer0.org2.example.com                    0.98%     174.1MiB / 7.761GiB   2.19%     3.33MB / 2.69MB   766kB / 1.66MB    13
3712cedc8005   peer0.org1.example.com                    0.80%     155.5MiB / 7.761GiB   1.96%     3.42MB / 3.97MB   29.7MB / 1.66MB   13
311c54469bf3   orderer0.example.com                      0.04%     24.84MiB / 7.761GiB   0.31%     1.14MB / 2.17MB   23.9MB / 2.37MB   11
2740b3ae91f1   couchdb.peer0.org2.example.com            89.88%    436MiB / 7.761GiB     5.49%     666kB / 428kB     4.78MB / 2.54MB   41
a10b4c8e3b3d   ca.org1.example.com                       0.00%     8.582MiB / 7.761GiB   0.11%     3.26kB / 5.89kB   631kB / 446kB     7
3bcdda778f36   couchdb.peer0.org1.example.com            97.40%    446.3MiB / 7.761GiB   5.62%     666kB / 430kB     26.2MB / 2.54MB   41
38cb3dc19b01   ca.org2.example.com                       0.00%     8.906MiB / 7.761GiB   0.11%     3.59kB / 5.91kB   19.5MB / 446kB    8
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
ad8921bcc761   dev-peer0.org1.example.com-smallbank-v0   0.00%     6.094MiB / 2GiB       0.30%     3.95kB / 2.25kB   0B / 0B           7
2acdc7440876   dev-peer0.org2.example.com-smallbank-v0   0.00%     6.715MiB / 2GiB       0.33%     3.95kB / 2.25kB   0B / 0B           6
34414dc16213   dev-peer0.org2.example.com-simple-v0      0.00%     5.879MiB / 2GiB       0.29%     4.57kB / 2.59kB   0B / 0B           7
9bac18b16d22   dev-peer0.org1.example.com-simple-v0      0.00%     5.859MiB / 2GiB       0.29%     4.69kB / 2.78kB   0B / 0B           7
14cc3d1d7938   dev-peer0.org1.example.com-drm-v0         0.00%     5.938MiB / 2GiB       0.29%     4.68kB / 2.71kB   0B / 0B           7
a988b9699b02   dev-peer0.org2.example.com-drm-v0         0.00%     5.902MiB / 2GiB       0.29%     4.78kB / 2.81kB   0B / 0B           6
