CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
6056152afdc6   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.91MiB / 2GiB        0.29%     4.34kB / 2.6kB    0B / 0B          7
f350bf6a10c2   dev-peer0.org2.example.com-simple-v0      0.00%     5.871MiB / 2GiB       0.29%     4.47kB / 2.66kB   0B / 0B          7
2916ba1fe335   dev-peer0.org1.example.com-simple-v0      0.00%     5.953MiB / 2GiB       0.29%     4.64kB / 2.75kB   0B / 0B          7
c604c6d7ba4c   dev-peer0.org1.example.com-drm-v0         0.00%     5.91MiB / 2GiB        0.29%     4.76kB / 2.92kB   0B / 0B          7
eacd4cec3a12   dev-peer0.org2.example.com-drm-v0         0.00%     6.039MiB / 2GiB       0.29%     4.87kB / 2.8kB    0B / 0B          7
03f5d137b15c   dev-peer0.org1.example.com-marbles-v0     0.00%     9.305MiB / 2GiB       0.45%     1.87MB / 935kB    0B / 0B          7
8495a7dfa093   dev-peer0.org2.example.com-marbles-v0     0.00%     10.46MiB / 2GiB       0.51%     1.87MB / 923kB    0B / 0B          7
55c693e27f01   peer0.org2.example.com                    0.98%     206MiB / 7.761GiB     2.59%     7.85MB / 5.17MB   0B / 5.46MB      14
60a7d0f0447c   peer0.org1.example.com                    1.07%     206MiB / 7.761GiB     2.59%     7.95MB / 6.43MB   0B / 5.46MB      14
ca2f120233b1   orderer0.example.com                      0.06%     39.45MiB / 7.761GiB   0.50%     4.34MB / 8.33MB   0B / 8.63MB      11
a5121fcaceac   couchdb.peer0.org2.example.com            2.27%     60.74MiB / 7.761GiB   0.76%     1.11MB / 1.35MB   0B / 5.82MB      41
441c2c79ca9f   couchdb.peer0.org1.example.com            1.98%     58.77MiB / 7.761GiB   0.74%     1.11MB / 1.35MB   0B / 5.82MB      41
eef497725215   ca.org1.example.com                       0.00%     7.719MiB / 7.761GiB   0.10%     3.48kB / 5.89kB   123kB / 446kB    7
9e9554808b54   ca.org2.example.com                       0.00%     7.195MiB / 7.761GiB   0.09%     3.48kB / 5.89kB   12.3kB / 446kB   8
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
57e42c30a492   dev-peer0.org2.example.com-smallbank-v0   0.00%     5.992MiB / 2GiB       0.29%     4.25kB / 2.72kB   0B / 0B          7
6056152afdc6   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.91MiB / 2GiB        0.29%     4.34kB / 2.6kB    0B / 0B          7
f350bf6a10c2   dev-peer0.org2.example.com-simple-v0      0.00%     5.871MiB / 2GiB       0.29%     4.47kB / 2.66kB   0B / 0B          7
2916ba1fe335   dev-peer0.org1.example.com-simple-v0      0.00%     5.953MiB / 2GiB       0.29%     4.64kB / 2.75kB   0B / 0B          7
c604c6d7ba4c   dev-peer0.org1.example.com-drm-v0         0.15%     5.957MiB / 2GiB       0.29%     4.93kB / 3.1kB    0B / 0B          7
eacd4cec3a12   dev-peer0.org2.example.com-drm-v0         0.00%     6.086MiB / 2GiB       0.30%     5.05kB / 2.98kB   0B / 0B          7
03f5d137b15c   dev-peer0.org1.example.com-marbles-v0     0.00%     9.305MiB / 2GiB       0.45%     1.87MB / 935kB    0B / 0B          7
8495a7dfa093   dev-peer0.org2.example.com-marbles-v0     0.00%     10.46MiB / 2GiB       0.51%     1.87MB / 923kB    0B / 0B          7
55c693e27f01   peer0.org2.example.com                    0.94%     206MiB / 7.761GiB     2.59%     7.85MB / 5.18MB   0B / 5.46MB      14
60a7d0f0447c   peer0.org1.example.com                    0.91%     206MiB / 7.761GiB     2.59%     7.95MB / 6.43MB   0B / 5.46MB      14
ca2f120233b1   orderer0.example.com                      0.05%     39.45MiB / 7.761GiB   0.50%     4.34MB / 8.33MB   0B / 8.63MB      11
a5121fcaceac   couchdb.peer0.org2.example.com            0.58%     60.74MiB / 7.761GiB   0.76%     1.11MB / 1.35MB   0B / 6.14MB      41
441c2c79ca9f   couchdb.peer0.org1.example.com            0.86%     58.77MiB / 7.761GiB   0.74%     1.11MB / 1.35MB   0B / 6.12MB      41
eef497725215   ca.org1.example.com                       0.00%     7.719MiB / 7.761GiB   0.10%     3.48kB / 5.89kB   123kB / 446kB    7
9e9554808b54   ca.org2.example.com                       0.00%     7.195MiB / 7.761GiB   0.09%     3.48kB / 5.89kB   12.3kB / 446kB   8
CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT   MEM %     NET I/O   BLOCK I/O   PIDS
