CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
7e50ec8c6191   dev-peer0.org2.example.com-drm-v0         0.00%     6.023MiB / 2GiB       0.29%     4.94kB / 2.94kB   0B / 0B           7
08edc342b58a   dev-peer0.org2.example.com-marbles-v0     0.00%     8.117MiB / 2GiB       0.40%     1.6MB / 643kB     0B / 0B           7
fc30a6d7d8c9   dev-peer0.org1.example.com-marbles-v0     0.00%     8.07MiB / 2GiB        0.39%     1.6MB / 642kB     0B / 0B           7
575c3f450217   peer0.org2.example.com                    3.33%     201.4MiB / 7.761GiB   2.53%     12.6MB / 4.32MB   0B / 4.23MB       14
895434c2fb1f   peer0.org1.example.com                    3.05%     207MiB / 7.761GiB     2.61%     12.7MB / 5.59MB   0B / 4.23MB       15
0137fc3e7918   orderer0.example.com                      0.06%     33.72MiB / 7.761GiB   0.42%     3.27MB / 6.3MB    16.4kB / 6.57MB   11
c90787f93a5d   couchdb.peer0.org2.example.com            93.50%    350.1MiB / 7.761GiB   4.40%     1.26MB / 7.4MB    0B / 5.23MB       41
e160581ade6e   ca.org1.example.com                       0.00%     8.645MiB / 7.761GiB   0.11%     3.41kB / 5.94kB   0B / 446kB        8
fc96d82e2256   couchdb.peer0.org1.example.com            94.22%    345.4MiB / 7.761GiB   4.35%     1.26MB / 7.44MB   0B / 5.22MB       41
2994739737df   ca.org2.example.com                       0.00%     8.438MiB / 7.761GiB   0.11%     3.31kB / 5.94kB   0B / 446kB        7
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
eeb47751e0f9   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.934MiB / 2GiB       0.29%     4.39kB / 2.75kB   0B / 0B           7
38e68ce31561   dev-peer0.org2.example.com-smallbank-v0   0.00%     5.965MiB / 2GiB       0.29%     4.15kB / 2.42kB   0B / 0B           7
7b717ceb1c9f   dev-peer0.org1.example.com-simple-v0      0.00%     5.93MiB / 2GiB        0.29%     4.76kB / 2.96kB   0B / 0B           7
7ef4eb5b47e1   dev-peer0.org2.example.com-simple-v0      0.00%     6.598MiB / 2GiB       0.32%     4.67kB / 2.75kB   0B / 0B           7
581495558d9e   dev-peer0.org1.example.com-drm-v0         0.00%     6.055MiB / 2GiB       0.30%     5.18kB / 3.17kB   0B / 0B           7
7e50ec8c6191   dev-peer0.org2.example.com-drm-v0         0.00%     6.023MiB / 2GiB       0.29%     5.01kB / 2.94kB   0B / 0B           7
08edc342b58a   dev-peer0.org2.example.com-marbles-v0     0.00%     39.36MiB / 2GiB       1.92%     6.98MB / 6.28MB   0B / 0B           9
fc30a6d7d8c9   dev-peer0.org1.example.com-marbles-v0     0.00%     30.66MiB / 2GiB       1.50%     6.98MB / 6.29MB   0B / 0B           8
575c3f450217   peer0.org2.example.com                    1.11%     200.9MiB / 7.761GiB   2.53%     20.8MB / 22.1MB   0B / 4.23MB       14
895434c2fb1f   peer0.org1.example.com                    11.60%    206.7MiB / 7.761GiB   2.60%     20.8MB / 23.4MB   0B / 4.23MB       15
0137fc3e7918   orderer0.example.com                      0.06%     33.72MiB / 7.761GiB   0.42%     3.27MB / 6.3MB    16.4kB / 6.57MB   11
c90787f93a5d   couchdb.peer0.org2.example.com            0.37%     211.4MiB / 7.761GiB   2.66%     1.46MB / 9.87MB   0B / 5.23MB       41
e160581ade6e   ca.org1.example.com                       0.00%     8.645MiB / 7.761GiB   0.11%     3.41kB / 5.94kB   0B / 446kB        8
fc96d82e2256   couchdb.peer0.org1.example.com            0.33%     194MiB / 7.761GiB     2.44%     1.46MB / 9.88MB   0B / 5.22MB       41
2994739737df   ca.org2.example.com                       0.00%     8.438MiB / 7.761GiB   0.11%     3.31kB / 5.94kB   0B / 446kB        7
CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
e160581ade6e   ca.org1.example.com              0.00%     8.645MiB / 7.761GiB   0.11%     3.45kB / 5.94kB   0B / 446kB    8
fc96d82e2256   couchdb.peer0.org1.example.com   18.49%    148.3MiB / 7.761GiB   1.87%     1.46MB / 9.88MB   0B / 5.22MB   36
2994739737df   ca.org2.example.com              0.00%     8.438MiB / 7.761GiB   0.11%     3.35kB / 5.94kB   0B / 446kB    7
